class,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,25.49350649,30.90909091,0,-14,-19,0.546099291,0.214222883,0.063060846,77,66,64,152
0,34.17241379,41.36206897,0,-14,-19,0.630434783,0.319339068,0.188398512,58,66,64,152
1,0,0.016433059,-2,0,0,0.49485769,0,0.015218973,2069,83,41,125
0,0.671437461,0.657747355,-5,-20,-13,0.33430414,0.671437461,0.55367353,1607,83,82,188
0,29.52272727,29.27272727,0,-25,-18,0.590604027,0.053903398,0.120562222,88,83,82,188
0,34.81333333,34.52,0,-25,-18,0.694444444,0.195373414,0.25206473,75,83,82,188
0,0.451333814,0.920692141,-5,-3,-13,0.27058135,0.451333814,0.919568711,1387,83,82,188
0,0.571428571,41.28571429,0,0,-18,0.557522124,0.191754554,0.068378687,63,83,82,188
0,0.58490566,49.26415094,0,0,-18,0.716216216,0.085953878,0.274800708,53,83,82,188
1,0,0.020300447,-1,0,0,0.559391324,0,0.016146317,2463,102,50,156
0,0.67714767,0.837731611,-7,-16,-7,0.346094054,0.67714767,0.583020903,1781,102,100,234
0,33.33333333,36.62068966,0,-23,-14,0.630434783,0.079284881,0.130958291,87,102,100,234
0,40.48611111,0.472222222,0,-23,1,0.808988764,0.282498273,0.18043043,72,102,100,234
0,0.526315789,42.06578947,0,0,-14,0.808510638,0.039664378,0.322366219,76,102,100,234
0,0.374932176,0.775908844,-3,-2,-11,0.31147541,0.374932176,0.758964284,1843,102,100,234
0,0.581818182,0.927272727,1,0,0,0.964912281,0.013074566,0.01031941,55,102,100,234
1,0,0.00990099,-3,0,0,0.631113984,0,0.009031323,2929,126,62,190
0,37.44329897,0.432989691,0,-20,1,0.85840708,0.273320043,0.140336867,97,126,124,285
0,52.27142857,0.3,1,-21,0,0.972222222,0.358390288,0.014736842,70,126,124,285
1,0,0.003165559,-3,0,0,0.657166632,0,0.0021232,3159,139,69,209
0,0.384547069,0.538780343,-14,-10,13,0.508122744,0.384547069,0.424368104,3378,139,138,314
0,45.30693069,0.277227723,0,-24,1,0.952830189,0.261652429,0.004513687,101,139,138,314
0,75.67213115,0.426229508,1,-25,0,0.953125,0.261880807,0.025603242,61,139,138,314
0,0.302575107,0.193609919,-8,-5,8,0.584203928,0.302575107,0.193111335,4194,157,156,354
0,43.24528302,56.09433962,1,-10,-9,0.954954955,0.17789983,0.065407507,106,157,156,356
0,0,0.846153846,1,0,0,0.742857143,0,0.0592686,26,22,10,42
0,0,1.776699029,1,0,0,0.56284153,0,0.204795114,103,22,20,43
0,0,1.423728814,1,0,0,0.587064677,0,0.23760643,118,22,20,43
0,0,0.26119403,1,0,0,0.558333333,0,0.302565513,134,22,20,43
